420  20
9.99999999999999955e-07  6.46118759636006349e-13  1.33690963842363460e-12  2.76624795457929518e-12  5.72375886251298406e-12  1.18432100316015108e-11  2.45053746587073184e-11  5.07044836789703128e-11  1.04916499327117788e-10  2.17079485901254528e-10  4.49194215947851877e-10  9.29344127968996260e-10  1.92331467861009980e-09  3.97820161381561181e-09  8.23665181212507258e-09  1.70232529986520373e-08  3.52959708587121858e-08  7.27605239180875921e-08  1.51561912941143538e-07  3.09819424724719516e-07  6.55136056169133860e-07  
1.03912230383516903e-06  7.24957171530743985e-13  1.50003728445517400e-12  3.10378124914299913e-12  6.42216305366029472e-12  1.32883001567780515e-11  2.74954823914404563e-11  5.68913657671640932e-11  1.17718246069543185e-10  2.43567182120220214e-10  5.04004173212110632e-10  1.04274118272777876e-09  2.15799425820222702e-09  4.46361474530467791e-09  9.24167184282343205e-09  1.91003942781613240e-08  3.96026905044933009e-08  8.16385434193474608e-08  1.70054799599996379e-07  3.47621940983040692e-07  7.35069367013479057e-07  
1.07977516232770934e-06  8.13415324488981014e-13  1.68306951337300728e-12  3.48249983351235499e-12  7.20578544087060421e-12  1.49097179333295161e-11  3.08504384045104315e-11  6.38331615100696899e-11  1.32082041667672745e-10  2.73286864585562907e-10  5.65501951105628593e-10  1.16997475406652051e-09  2.42130901291673326e-09  5.00825705057615624e-09  1.03693221255697163e-08  2.14309830659106740e-08  4.44349009296358667e-08  9.15998224688816814e-08  1.90804061626690034e-07  3.90036814122682665e-07  8.24754879370200237e-07  
1.12201845430196305e-06  9.12667004425869926e-13  1.88843505154329077e-12  3.90742907286256036e-12  8.08502421589814139e-12  1.67289785861834908e-11  3.46147609119569627e-11  7.16219842764862721e-11  1.48198484803895084e-10  3.06632894945185147e-10  6.34503585972001302e-10  1.31273314880503777e-09  2.71675294893127175e-09  5.61935554247220287e-09  1.16345656579336457e-08  2.40459441993213292e-08  4.98567199099787192e-08  1.02776533927071692e-07  2.14084997711373199e-07  4.37626784398077284e-07  9.25382301203816801e-07  
1.16591440117983120e-06  1.02402922079533087e-12  2.11885897475425015e-12  4.38420751961182399e-12  9.07154634161168254e-12  1.87702225942190312e-11  3.88384001695429375e-11  8.03611869600695114e-11  1.66281430695105826e-10  3.44047754178388633e-10  7.11924685395939660e-10  1.47291067760152443e-09  3.04824640277376715e-09  6.30501905443810886e-09  1.30541911662740320e-08  2.69799758244895287e-08  5.59400883932190695e-08  1.15316977167995190e-07  2.40206493677288116e-07  4.91023245674076738e-07  1.03828645592284257e-06  
1.21152765862858752e-06  1.14897968250397899e-12  2.37739886831140919e-12  4.91916173357077376e-12  1.01784423654486090e-11  2.10605360195821556e-11  4.35774012836785847e-11  9.01667334075080003e-11  1.86570828814424371e-10  3.86027914028077904e-10  7.98792577678870822e-10  1.65263279106381044e-09  3.42018806088301447e-09  7.07434583714640696e-09  1.46470358713541881e-08  3.02720097899763191e-08  6.27657249898706401e-08  1.29387545597094235e-07  2.69515119802900913e-07  5.50934620088185554e-07  1.16496497838145332e-06  
1.25892541179416611e-06  1.28917640620884767e-12  2.66748539933108286e-12  5.51939023152872746e-12  1.14204001229598335e-11  2.36303099230652347e-11  4.88946478951789683e-11  1.01168737185974835e-10  2.09335906866338024e-10  4.33130424853027700e-10  8.96259943763481025e-10  1.85428428289647938e-09  3.83751332638670227e-09  7.93754428352183262e-09  1.64342354339950675e-08  3.39657282130103373e-08  7.04241969127337250e-08  1.45174934196904138e-07  3.02399727896708171e-07  6.18155754079965284e-07  1.30709816784458732e-06  
1.30817747426019290e-06  1.44647971718906874e-12  2.99296783960157219e-12  6.19285768023617222e-12  1.28138996363833724e-11  2.65136436347661529e-11  5.48606966060585163e-11  1.13513188108279787e-10  2.34878743264374962e-10  4.85980307316054559e-10  1.00562011249095367e-09  2.08054093431172665e-09  4.30575980754721180e-09  8.90606838399531323e-09  1.84395043969196547e-08  3.81101430713009151e-08  7.90171215701493789e-08  1.62888616379089708e-07  3.39296609062274135e-07  6.93578460308285919e-07  1.46657126062477658e-06  
1.35935639087852695e-06  1.62297693472963285e-12  3.35816514307257406e-12  6.94850058266613347e-12  1.43774317944295770e-11  2.97487972311748712e-11  6.15547132216666942e-11  1.27363889425556019e-10  2.63538275515528395e-10  5.45278845990134187e-10  1.12832422214530333e-09  2.33440501959306700e-09  4.83114079681712127e-09  9.99276970925144763e-09  2.06894508435084385e-08  4.27602465096924735e-08  8.86585147508566547e-08  1.82763622991489718e-07  3.80695280517789221e-07  7.78203345148693330e-07  1.64549941705261288e-06  
1.41253754462275541e-06  1.82101006957713939e-12  3.76792325573957547e-12  7.79634585994591025e-12  1.61317437150216728e-11  3.33786992227709614e-11  6.90655232314848603e-11  1.42904631392721661e-10  2.95694797699788477e-10  6.11812894932149117e-10  1.26600047600273142e-09  2.61924514393325611e-09  5.42062771546599011e-09  1.12120679370121253e-08  2.32139294481006015e-08  4.79777404888920624e-08  9.94763032820535516e-08  2.05063660334547574e-07  4.27144978165501295e-07  8.73153078481257123e-07  1.84625575327368261e-06  
1.46779926762207046e-06  2.04320690099595167e-12  4.22767941839053942e-12  8.74764390246851284e-12  1.81001140468030734e-11  3.74515161888268774e-11  7.74927904677837067e-11  1.60341630048465116e-10  3.31775006723056865e-10  6.86465318701894655e-10  1.42047574738910876e-09  2.93884094215143495e-09  6.08204261769558266e-09  1.25801421854319480e-08  2.60464376017642680e-08  5.38318554559190957e-08  1.11614022223045715e-07  2.30084608535459070e-07  4.79261940951792091e-07  9.79687281568298588e-07  2.07150278854208154e-06  
1.52522295653901987e-06  2.29251584579814184e-12  4.74353431547236423e-12  9.81501785568911509e-12  2.03086618624882853e-11  4.20212919181052194e-11  8.69483395821566467e-11  1.79906263570684516e-10  3.72257664303447290e-10  7.70226707370199027e-10  1.59379982092367045e-09  3.29743323139085371e-09  6.82416198162736481e-09  1.41151456917243751e-08  2.92245598688619131e-08  6.04002688966830980e-08  1.25232719103474822e-07  2.58158446669971461e-07  5.37737583541569378e-07  1.09921923023249835e-06  2.32422772372814764e-06  
1.58489319246111408e-06  2.57224508203798471e-12  5.32233302744847009e-12  1.10126311215369958e-11  2.27866932428791498e-11  4.71486645364397178e-11  9.75576398883233971e-11  2.01858142516937233e-10  4.17679949821279754e-10  8.64208520964707021e-10  1.78827259160615441e-09  3.69978028326515136e-09  7.65683316429824463e-09  1.58374466843628023e-08  3.27904666708460584e-08  6.77701359558773335e-08  1.40513090460016729e-07  2.89657656677855568e-07  6.03347665589481475e-07  1.23333459456147319e-06  2.60778201726478094e-06  
1.64689786548286897e-06  2.88610644651846029e-12  5.97175586083539113e-12  1.23563752980826240e-11  2.55670901504978407e-11  5.29016711370241112e-11  1.09461470260805896e-10  2.26488554689853344e-10  4.68644588330226045e-10  9.69657837769083169e-10  2.00647458265130880e-09  4.15122096211629052e-09  8.59110506582099740e-09  1.77698986447059758e-08  3.67914738130193039e-08  7.60392457957058994e-08  1.57657879004881907e-07  3.25000164463314341e-07  6.76962579080037553e-07  1.38381246330049319e-06  2.92592578137935730e-06  
1.71132830416178096e-06  3.23826468860274874e-12  6.70042026117680101e-12  1.38640810513024603e-11  2.86867467529439948e-11  5.93566505903320821e-11  1.22817787181562905e-10  2.54124330338445344e-10  5.25827848312760382e-10  1.08797390217289192e-09  2.25130118701000554e-09  4.65774556714920462e-09  9.63937473638499159e-09  1.99381435437974241e-08  4.12806702770252603e-08  8.53173190325556862e-08  1.76894563214243405e-07  3.64654883689973720e-07  7.59558890002794312e-07  1.55264893130499317e-06  3.28287758493423409e-06  
1.77827941003892290e-06  3.63339273389860273e-12  7.51799516127746028e-12  1.55557547170784598e-11  3.21870589857103283e-11  6.65992565133735737e-11  1.37803820722300586e-10  2.85132178983796229e-10  5.89988515303813460e-10  1.22072669164761135e-09  2.52600108692445672e-09  5.22607531842548781e-09  1.08155518712917027e-08  2.23709520775526031e-08  4.63176226073002465e-08  9.57274634616724421e-08  1.98478375000549059e-07  4.09147935765703075e-07  8.52232287222250526e-07  1.74208356230590499e-06  3.68337032035221798e-06  
1.84784979742229063e-06  4.07673369113075405e-12  8.43532928202719955e-12  1.74538437729931839e-11  3.61144738506442714e-11  7.47255938397295941e-11  1.54618426274711839e-10  3.19923555415672923e-10  6.61977960455371338e-10  1.36967774921581942e-09  2.83421936130128270e-09  5.86375154138617932e-09  1.21352433765418235e-08  2.51006054143752848e-08  5.19691652356044940e-08  1.07407807378984900e-07  2.22695685480800617e-07  4.59069628470822967e-07  9.56212110013056313e-07  1.95462907723818038e-06  4.13271387185653016e-06  
1.92014193863880126e-06  4.57417042499448391e-12  9.46459508828766080e-12  1.95835347025653910e-11  4.05211057388959012e-11  8.38434940719068936e-11  1.73484723234486960e-10  3.58960119428303566e-10  7.42751437643605469e-10  1.53680355784120258e-09  3.18004585288658356e-09  6.57923573325515084e-09  1.36159604537661028e-08  2.81633235199483780e-08  5.83102872275366801e-08  1.20513332164255202e-07  2.49867803730839109e-07  5.15082285732691395e-07  1.07287764660453519e-06  2.19310466099485902e-06  4.63686541164018286e-06  
1.99526231496887871e-06  5.13230361817931780e-12  1.06194503100470251e-11  2.19730872043975422e-11  4.54654279565627134e-11  9.40739461377734010e-11  1.94653055652602342e-10  4.02759861741972018e-10  8.33380759021663344e-10  1.72432176689537043e-09  3.56806943701612673e-09  7.38202183905428114e-09  1.52773509520503626e-08  3.15997457418214495e-08  6.54251272137146870e-08  1.35217928431900873e-07  2.80355238887904498e-07  5.77929032322844672e-07  1.20377641948830362e-06  2.46067332825392632e-06  5.20250825075088435e-06  
2.07332157348595416e-06  5.75853935839789043e-12  1.19152191721283421e-11  2.46542091809812793e-11  5.10130486291323664e-11  1.05552701837592130e-10  2.18404314139648029e-10  4.51903977396837960e-10  9.35068517211840488e-10  1.93472061870109812e-09  4.00343891201797606e-09  8.28276222695765478e-09  1.71414600694094917e-08  3.54554700296656678e-08  7.34080897030253652e-08  1.51716703020131739e-07  3.14562482102610031e-07  6.48443649898678191e-07  1.35064469949655748e-06  2.76088384260865474e-06  5.83714028372643419e-06  
2.15443469003188224e-06  6.46118741264585236e-12  1.33690957372566797e-11  2.76624774830252231e-11  5.72375812804734166e-11  1.18432077184866855e-10  2.45053663102512388e-10  5.07044577823677542e-10  1.04916404285313963e-09  2.17079196561265346e-09  4.49193131920239348e-09  9.29340903447051756e-09  1.92330228627607456e-08  3.97816579448717229e-08  8.23650975850113431e-08  1.70228567414715218e-07  3.52943371728057623e-07  7.27561634996912975e-07  1.51543052010034873e-06  3.09771774331484055e-06  6.54917319178340443e-06  
2.23872113856833758e-06  7.24957149273171485e-12  1.50003720607212396e-11  3.10378099923176952e-11  6.42216216383940450e-11  1.32882973543585502e-10  2.74954722771183681e-10  5.68913343924789244e-10  1.17718130924654404e-09  2.43566831573563257e-09  5.04002859895085455e-09  1.04273727608531971e-08  2.15797924472202260e-08  4.46357134858462348e-08  9.24149974344016805e-08  1.90999141934755660e-07  3.96007112859109536e-07  8.16332605497915855e-07  1.70031949639315441e-06  3.47564210133511880e-06  7.34804371026319701e-06  
2.32630506715362375e-06  8.13415297523203156e-12  1.68306941841019942e-11  3.48249953073639565e-11  7.20578436283392372e-11  1.49097145380986938e-10  3.08504261508123627e-10  6.38331234984636183e-10  1.32081902167613135e-09  2.73286439884331671e-09  5.65500360001960121e-09  1.16997002100235473e-08  2.42129082389939264e-08  5.00820447344782750e-08  1.03691136256913830e-07  2.14304014193735317e-07  4.44325031000791483e-07  9.15934219928049877e-07  1.90776379024691467e-06  3.89966870189026040e-06  8.24433842387326824e-06  
2.41731548080410104e-06  9.12666971755934496e-12  1.88843493649378176e-11  3.90742870603904017e-11  8.08502290983466376e-11  1.67289744727385439e-10  3.46147460663711935e-10  7.16219382239722165e-10  1.48198315797228946e-09  3.06632380402323712e-09  6.34501658327128564e-09  1.31272741449001614e-08  2.71673091273343904e-08  5.61929184277846521e-08  1.16343130588602050e-07  2.40452395045092029e-07  4.98538149365842396e-07  1.02768779398682345e-06  2.14051460464012452e-06  4.37542043540363426e-06  9.24993373004203857e-06  
2.51188643150958227e-06  1.02402918121461202e-11  2.11885883536933172e-11  4.38420707519229256e-11  9.07154475928987645e-11  1.87702176106290096e-10  3.88383821838472568e-10  8.03611311656499201e-10  1.66281225940837179e-09  3.44047130788194330e-09  7.11922350028632198e-09  1.47290373021973782e-08  3.04821970570268252e-08  6.30494187912593004e-08  1.30538851411289782e-07  2.69791220489954893e-07  5.59365690205729316e-07  1.15307582114026324e-06  2.40165863670225522e-06  4.90920577364976577e-06  1.03781528086769055e-05  
2.61015721568253865e-06  1.14897963455058818e-11  2.37739869944368001e-11  4.91916119514065513e-11  1.01784404484352731e-10  2.10605299817755165e-10  4.35773794936962619e-10  9.01666658103379142e-10  1.86570580751555260e-09  3.86027158764082237e-09  7.98789748353101652e-09  1.65262437398711860e-08  3.42015571715577274e-08  7.07425233532747482e-08  1.46466651207757451e-07  3.02709753934974389e-07  6.27614612810859552e-07  1.29376162930715452e-06  2.69465897120302124e-06  5.50810231432311466e-06  1.16439416582823590e-05  
2.71227257933202973e-06  1.28917634811165317e-11  2.66748519474440195e-11  5.51938957920109981e-11  1.14203978004625335e-10  2.36303026080307996e-10  4.88946214962551926e-10  1.01168655289234329e-09  2.09335606334699250e-09  4.33129509817339311e-09  8.96256516004554120e-09  1.85427408520327106e-08  3.83747414173721873e-08  7.93743100113618678e-08  1.64337862690265520e-07  3.39644749818691342e-07  7.04190314535433225e-07  1.45161143391188949e-06  3.02340095471905686e-06  6.18005049650931617e-06  1.30640665065579824e-05  
2.81838293126445513e-06  1.44647964680227395e-11  2.99296759174077743e-11  6.19285688991712142e-11  1.28138968226363851e-10  2.65136347723149900e-10  5.48606646233493773e-10  1.13513088886937565e-09  2.34878379166413473e-09  4.85979198708702909e-09  1.00561595972832663e-08  2.08052857929941757e-08  4.30571233513769696e-08  8.90593113618384131e-08  1.84389602337079313e-07  3.81086247063103661e-07  7.90108636591001940e-07  1.62871907925750271e-06  3.39224365629404354e-06  6.93395872320893370e-06  1.46573351813613721e-05  
2.92864456462523746e-06  1.62297684945350380e-11  3.35816484278447835e-11  6.94849962516474876e-11  1.43774283855269297e-10  2.97487864939593197e-10  6.15546744741443902e-10  1.27363769214616684e-09  2.63537834406571358e-09  5.45277502860336659e-09  1.12831919103975817e-08  2.33439005085974177e-08  4.83108328382708225e-08  9.99260342571926955e-08  2.06887915911673792e-07  4.27584069151516153e-07  8.86509333613133988e-07  1.82743379570157150e-06  3.80607759392477046e-06  7.77982127686229916e-06  1.64448453387717271e-05  
3.04321988710772202e-06  1.82100996626200187e-11  3.76792289193503364e-11  7.79634469989609974e-11  1.61317395850807237e-10  3.33786862141925946e-10  6.90654762883324653e-10  1.42904485751832436e-09  2.95694263291666103e-09  6.11811267665359909e-09  1.26599438078546118e-08  2.61922700851409632e-08  5.42055803838807060e-08  1.12118664746663327e-07  2.32131307671571215e-07  4.79755116994444282e-07  9.94671185364469763e-07  2.05039133996167665e-06  4.27038948860628734e-06  8.72885058167999187e-06  1.84502627927791601e-05  
3.16227766016837919e-06  2.04320677582582874e-11  4.22767897763492874e-11  8.74764249702248089e-11  1.81001090433162761e-10  3.74515004283852095e-10  7.74927335955656909e-10  1.60341453597869238e-09  3.31774359282747686e-09  6.86463347186698806e-09  1.42046836300375309e-08  2.93881897008639942e-08  6.08195820395051307e-08  1.25798981013655373e-07  2.60454700058306448e-07  5.38291551246032313e-07  1.11602895064958043e-06  2.30054893055841968e-06  4.79133490002156561e-06  9.79362555465424558e-06  2.07001335801664137e-05  
3.28599324760065407e-06  2.29251569414979916e-11  4.74353378148952191e-11  9.81501615293458974e-11  2.03086558006921444e-10  4.20212728236466445e-10  8.69482706808193590e-10  1.79906049792467182e-09  3.72256879924567862e-09  7.70224318777312558e-09  1.59379087471828446e-08  3.29740661096839334e-08  6.82405971460623376e-08  1.41148499681529139e-07  2.92233876363999910e-07  6.03969972512725645e-07  1.25219238786750369e-06  2.58122444050792044e-06  5.37581970145657834e-06  1.09882579978248664e-05  2.32242338292118727e-05  
3.41454887383360094e-06  2.57224489831015413e-11  5.32233238051973673e-11  1.10126290585795379e-10  2.27866858989324653e-10  4.71486414026514760e-10  9.75575564136608572e-10  2.01857883514215942e-09  4.17678999541523731e-09  8.64205627055986475e-09  1.78826175326852156e-08  3.69974803102665981e-08  7.65670926832893715e-08  1.58370883953415185e-07  3.27890465268866362e-07  6.77661721109246647e-07  1.40496759393648192e-06  2.89614036555720061e-06  6.03159146749479054e-06  1.23285792203866464e-05  2.60559619872566285e-05  
