420  20
9.99999999999999955e-07  2.42377382087655940e-01  2.42377384506516108e-01  2.42377388434175139e-01  2.42377394811920471e-01  2.42377405167576832e-01  2.42377421984252467e-01  2.42377449285529151e-01  2.42377493636276670e-01  2.42377565578857118e-01  2.42377682670244038e-01  2.42377871782175819e-01  2.42378182656576124e-01  2.42378673265406075e-01  2.42379522820376919e-01  2.42380704793640628e-01  2.42383361108728351e-01  2.42384923438225236e-01  2.42397726384566053e-01  2.42380200557794273e-01  2.42494732054975154e-01  
1.03912230383516903e-06  2.42377382397004626e-01  2.42377385008829160e-01  2.42377389249819469e-01  2.42377396136344653e-01  2.42377407318145804e-01  2.42377425476296232e-01  2.42377454955826577e-01  2.42377502843572484e-01  2.42377580529431175e-01  2.42377706946646038e-01  2.42377911201437091e-01  2.42378246664948532e-01  2.42378777198464984e-01  2.42379691589804103e-01  2.42380978809544151e-01  2.42383806132594110e-01  2.42385645691281681e-01  2.42398900382423316e-01  2.42382101926791521e-01  2.42497836872950290e-01  
1.07977516232770934e-06  2.42377382731031682e-01  2.42377385551214408e-01  2.42377390130532111e-01  2.42377397566425096e-01  2.42377409640277153e-01  2.42377429246918408e-01  2.42377461078472856e-01  2.42377512785381027e-01  2.42377596672687351e-01  2.42377733159696296e-01  2.42377953765361059e-01  2.42378315779558290e-01  2.42378889422693977e-01  2.42379873822555270e-01  2.42381274684372539e-01  2.42384286656323417e-01  2.42386425557102991e-01  2.42400168022168322e-01  2.42384154943040442e-01  2.42501189278795826e-01  
1.12201845430196305e-06  2.42377383091705756e-01  2.42377386136868739e-01  2.42377391081503663e-01  2.42377399110590613e-01  2.42377412147656568e-01  2.42377433318342356e-01  2.42377467689553761e-01  2.42377523520298011e-01  2.42377614103771594e-01  2.42377761463889924e-01  2.42377999724810833e-01  2.42378390407750027e-01  2.42379010599504507e-01  2.42380070592622454e-01  2.42381594161802161e-01  2.42384805511593693e-01  2.42387267630912118e-01  2.42401536771778003e-01  2.42386371698456671e-01  2.42504809007370037e-01  
1.16591440117983120e-06  2.42377383481152564e-01  2.42377386769243364e-01  2.42377392108339085e-01  2.42377400777942009e-01  2.42377414855062617e-01  2.42377437714564603e-01  2.42377474828034067e-01  2.42377535111593739e-01  2.42377632925420861e-01  2.42377792026047229e-01  2.42378049350662261e-01  2.42378470989362160e-01  2.42379141443069823e-01  2.42380283059667412e-01  2.42381939124591606e-01  2.42385365755925730e-01  2.42388176874376610e-01  2.42403014694603958e-01  2.42388765248633342e-01  2.42508717365145121e-01  
1.21152765862858752e-06  2.42377383901667631e-01  2.42377387452066023e-01  2.42377393217090509e-01  2.42377402578306561e-01  2.42377417778452370e-01  2.42377442461496062e-01  2.42377482535987426e-01  2.42377547627585455e-01  2.42377653248566305e-01  2.42377825026296401e-01  2.42378102935399853e-01  2.42378557999321065e-01  2.42379282724532630e-01  2.42380512475854987e-01  2.42382311605673001e-01  2.42385970690690150e-01  2.42389158644818997e-01  2.42404610496803841e-01  2.42391349689559776e-01  2.42512937355128716e-01  
1.25892541179416611e-06  2.42377384355729475e-01  2.42377388189360998e-01  2.42377394414292624e-01  2.42377404522295559e-01  2.42377420935055848e-01  2.42377447587114492e-01  2.42377490858843442e-01  2.42377561142040787e-01  2.42377675192990111e-01  2.42377860659134803e-01  2.42378160794839981e-01  2.42378651950438312e-01  2.42379435276549815e-01  2.42380760193230876e-01  2.42382713800128602e-01  2.42386623880550961e-01  2.42390218726752149e-01  2.42406333578547684e-01  2.42394140240434097e-01  2.42517493811675838e-01  
1.30817747426019290e-06  2.42377384846013982e-01  2.42377388985473591e-01  2.42377395707001841e-01  2.42377406621366531e-01  2.42377424343477865e-01  2.42377453121629727e-01  2.42377499845655847e-01  2.42377575734612410e-01  2.42377698888029125e-01  2.42377899134576358e-01  2.42378223269993281e-01  2.42378753396433361e-01  2.42379599998199274e-01  2.42381027671688370e-01  2.42383148078120753e-01  2.42387329174456601e-01  2.42391363365927287e-01  2.42408194089295648e-01  2.42397153333051896e-01  2.42522413545968041e-01  
1.35935639087852695e-06  2.42377385375411203e-01  2.42377389845096325e-01  2.42377397102837067e-01  2.42377408887891055e-01  2.42377428023807129e-01  2.42377459097661563e-01  2.42377509549391801e-01  2.42377591491306443e-01  2.42377724473338024e-01  2.42377940679387560e-01  2.42378290729073520e-01  2.42378862935196726e-01  2.42379777860276951e-01  2.42381316487569304e-01  2.42383616998855217e-01  2.42388090728305861e-01  2.42392599306092804e-01  2.42410202987471513e-01  2.42400406708289107e-01  2.42527725502995173e-01  
1.41253754462275541e-06  2.42377385947041002e-01  2.42377390773295509e-01  2.42377398610025357e-01  2.42377411335227944e-01  2.42377431997735010e-01  2.42377465550431853e-01  2.42377520027244331e-01  2.42377608504991016e-01  2.42377752099712629e-01  2.42377985538425766e-01  2.42378363569667549e-01  2.42378981212313105e-01  2.42379969911018261e-01  2.42381628342951710e-01  2.42384123325654510e-01  2.42388913029416148e-01  2.42393933828678604e-01  2.42412372104880258e-01  2.42403919520241734e-01  2.42533460930941830e-01  
