95	95	1	95
6.25	0.011135	-0.54618	0.91558	-2.0109	3.2089	-3.4135	3.3765	-3.0821	2.1724	-2.6202	2.7165	-1.2356	1.9726	-2.1395	0.75972	-0.93245	0.27176	-1.0312	0.48248	-0.11926	2.0557	-1.2975	0.09521	-0.31164	0.29044	-0.33059	0.48547	-1.6467	0.31444	-0.34381	0.11529	-0.69362	0.62507	-0.84032	0.46426	-0.95059	0.2838	-1.0035	0.38504	-0.15613	0.17666	-0.018692	0.19969	-0.31137	0.24885	-0.067682	0.73898	-0.23963	0.17743	-0.53212	0.19123	-0.2642	0.53285	-0.71788	0.20182	-0.10955	0.23689	-0.097371	0.34183	-0.08702	0.27331	-0.15852	0.10257	-0.20689	0.13324	-0.19642	0.10096	-0.020054	0.24722	-0.0070269	0.20762	-0.0058307	0.022561	-0.13239	0.017845	-0.16923	0.084575	-0.034	0.018902	-0.25676	0.0092366	-0.00048685	0.068807	-0.082825	0.044385	-0.11476	0.092847	-0.15384	0.15705	-0.015989	0.0051342	0.027923	0.047406	0.02525	-0.0053606
6.5	0.0082362	-0.59721	1.0103	-2.0306	2.9392	-2.6262	1.9595	-1.2306	0.42443	-0.47266	-0.31749	0.4545	-0.91007	1.075	-0.96497	0.46543	0.45233	0.52588	-0.38628	0.53035	-1.702	2.5207	0.37804	0.88017	-0.49889	0.78654	-0.51604	2.8908	-0.66735	-0.38266	0.3314	1.5307	-1.4689	1.4447	-0.71645	2.1088	-0.78859	2.3047	-0.57146	0.60865	-0.24697	0.014648	-0.58019	1.0095	-0.9409	0.6235	-1.9252	0.74567	-1.1298	1.6084	-0.55915	1.3216	-1.3026	1.8209	-0.10929	0.22771	-0.66379	0.46138	-0.91981	0.51516	-0.39394	0.70117	-0.27567	0.72361	-0.51318	0.40008	-0.23376	-0.30606	-0.70573	0.14748	-1.1845	-0.44608	-0.14306	0.34065	-0.083361	0.41313	0.056388	-0.24368	-0.026603	1.0634	-0.23983	-0.0049542	-0.25573	0.12337	-0.20637	0.76313	-0.35186	0.3186	-0.34392	-0.018565	0.088783	0.12192	-0.12512	-0.028706	-0.07195
6.75	0.0059685	-0.64905	1.1045	-2.0269	2.6247	-1.813	0.71307	0.19512	-0.73968	0.91179	-1.9868	0.98631	-1.7073	2.3192	-0.94501	0.93177	-0.21667	1.0837	-0.1893	0.088	-2.7896	0.65109	-0.71274	-0.24849	-0.26702	-0.12461	-1.1349	0.81395	0.10504	1.1509	-0.62265	0.29106	0.78644	-0.21105	-1.0076	-1.3052	0.60779	-0.97299	-0.69527	-0.77057	0.083717	0.56878	0.087772	-0.83602	1.105	-1.3822	1.3992	-0.7279	1.9338	-1.6763	0.17141	-2.3927	0.62602	-0.7383	-0.66112	-0.028649	0.41245	-1.4156	1.0859	-0.59246	-0.47753	-0.6506	-0.12577	-0.69159	0.61982	-0.1615	-0.075958	0.80815	0.87266	-0.35038	2.2302	1.4539	0.51278	-0.20448	0.19803	-0.30373	-1.06	0.94942	0.068082	-1.6713	0.67429	0.21455	0.18823	-0.032039	0.23719	-1.6592	0.23856	0.08106	0.13821	0.25273	-0.23202	-0.49951	-0.17199	-0.22762	0.38904
7	0.0046344	-0.70116	1.1961	-2.0011	2.2714	-1.0218	-0.30851	1.1651	-1.3368	1.7066	-2.3303	0.55172	-1.3065	1.4877	-0.17615	0.50199	-0.93508	0.69178	-0.32107	-0.90239	-0.55173	-1.8185	-0.63633	-0.6494	0.034338	-0.71047	0.40568	-1.9921	0.32644	1.2188	-0.072844	-1.579	0.75001	-0.51489	1.6372	0.10346	0.12954	-1.4042	1.2158	0.59539	-0.25054	-1.2315	1.7273	-0.25057	-0.22063	0.88434	-0.26694	0.49404	-1.3582	0.59659	1.0857	1.4111	1.3129	-1.7294	0.73091	-0.59156	0.43064	2.1916	-1.228	-0.56278	1.2762	-0.47905	0.83976	-0.3374	-0.092903	0.24034	0.31838	-0.79468	-1.1938	0.10565	-1.3018	-1.0142	-0.9234	-0.167	-0.052286	0.10173	1.9787	-1.2164	-0.27228	0.9548	-0.94882	-0.70997	0.35135	0.29474	0.016196	1.5582	0.31983	-0.37881	0.10707	-0.49739	-0.063145	0.77632	0.77497	0.68999	-0.55362
7.25	0.0044782	-0.75326	1.2825	-1.9525	1.8885	-0.28767	-1.075	1.713	-1.4484	1.9669	-1.6489	0.024159	-0.4099	-0.29099	0.92385	-0.18575	-0.75911	-0.04463	0.020924	-0.57062	2.1458	-1.8127	0.47494	-0.26889	0.63858	-0.22068	1.1223	-2.1982	0.32677	-1.6997	-0.59511	-0.70786	-1.4652	-0.24949	0.85055	0.047217	-0.11509	1.304	0.72962	-0.81512	0.49388	-0.12723	-2.9302	0.70579	-0.50657	0.76674	1.2405	-0.33464	0.59204	-0.37751	-1.4795	1.159	-2.0717	1.6051	-0.29561	0.58878	-0.48697	-1.6174	1.2501	1.2097	-0.73668	0.36494	-0.8193	1.1886	-0.2891	-0.82161	-0.26708	0.21478	1.6219	0.42672	-0.90906	-1.2582	0.66796	-0.16535	-0.6239	0.087956	-1.1515	0.65944	0.24365	0.33842	0.94722	0.74362	-0.51841	-0.72926	-0.21742	-0.66711	-0.274	-0.85014	-0.19049	0.43312	0.71768	-0.83648	-0.73699	-0.89375	0.20337
7.5	0.0056351	-0.80538	1.362	-1.8825	1.4876	0.35454	-1.5733	1.8515	-1.2094	1.6375	-0.34701	-0.040285	0.56088	-1.7651	1.3518	-0.70811	-0.17587	-0.76544	-0.22967	0.22796	3.1995	-0.41631	0.56608	0.47704	0.65351	1.1236	1.0471	0.60541	0.10939	-0.32232	1.7185	0.23543	1.3315	1.0121	-1.2988	0.025688	-0.45676	0.64344	-0.90829	0.95451	-0.39234	1.8451	1.574	-0.77875	0.27328	-1.1461	-2.6766	-0.17727	0.44264	1.3367	1.2347	-2.0715	0.77762	0.62996	0.35873	1.4317	-0.46219	0.62359	-0.34126	0.086664	-0.087134	1.6132	0.25855	-0.72776	-0.15237	0.2749	0.84909	0.34245	-0.64509	-0.39364	1.3575	1.6548	0.4276	1.3209	0.95823	-0.51089	-0.6647	-0.077597	0.14122	-0.36873	-0.33357	0.30358	-0.46552	0.44211	0.21036	0.37241	-0.40784	2.2184	0.4584	-0.2295	-0.65975	0.51062	0.036321	0.30393	0.10167
7.75	0.0081735	-0.8572	1.4322	-1.7902	1.0794	0.88504	-1.8203	1.723	-0.78581	0.95773	0.91558	-0.16048	1.3159	-2.143	0.81679	-0.45206	0.47676	-1.1623	0.20991	0.89679	1.0128	1.9948	0.57912	0.56696	-0.35255	0.087783	0.21581	1.5377	-1.1261	-0.65857	-0.62833	1.4996	-1.5486	-0.31654	0.35738	0.02608	0.98487	-0.93658	-2.2031	-0.34722	-0.3284	-0.74787	0.63883	1.1102	0.066376	-0.76546	1.6029	-0.12479	-2.0164	-1.5528	-1.432	0.5814	-0.015576	-0.55747	-0.5167	-3.1398	0.94362	-0.5571	-0.45831	-1.0729	-0.37851	-2.2052	0.25695	-0.17486	0.85191	1.4453	-0.83568	0.01607	-1.1705	0.089121	0.058354	0.89265	-1.0803	-1.4977	-0.27168	0.40911	1.0227	0.23042	-0.070244	-0.35439	-0.38339	-0.95453	1.1299	0.40273	-0.12182	-0.48392	0.40884	-0.97629	-0.40726	0.18093	-0.073863	-0.20154	0.22745	0.7535	-0.079301
8	0.012131	-0.90908	1.4919	-1.678	0.68011	1.2889	-1.8559	1.3623	-0.2828	0.045089	1.8368	-0.19724	1.6894	-1.4343	-0.092848	-0.36902	1.0466	-0.653	0.70041	1.1228	-1.1495	1.5472	-0.041254	-0.093794	-0.35354	-0.26623	-1.8999	1.825	0.18921	0.33492	-0.87121	1.0645	1.3457	-0.71661	-1.1437	0.51394	-1.4364	-0.038952	2.9901	-0.92047	0.32713	-0.71878	-1.0508	-1.7095	0.14537	2.5226	0.37852	1.3191	2.5191	0.04159	0.56139	0.59489	0.49045	-1.7515	0.96413	1.5952	-0.81345	0.98911	-0.0096878	-0.040273	1.1211	0.087252	-0.014118	-0.86279	-1.0749	-1.8803	-0.79238	-0.59768	0.95481	-0.09385	-0.22399	-1.3507	0.28228	0.070706	0.10646	0.63171	0.31913	-0.24053	-0.49612	-0.17602	0.36255	-0.22993	0.43917	-0.37688	0.072115	-0.41944	0.46218	-0.8915	-0.013819	-0.3339	0.0076443	0.14099	0.37739	-0.62798	0.29153
8.25	0.017455	-0.96058	1.5396	-1.5473	0.30064	1.5653	-1.7152	0.85792	0.25431	-0.87949	2.1332	-0.41736	1.4447	-0.2216	-0.92013	0.070286	0.82369	0.060493	0.73089	-0.017757	-2.6778	0.71702	-0.7862	-0.31149	-0.8457	-0.41857	-0.38597	-0.037701	0.64102	1.1643	0.50284	-1.5498	0.63941	0.2551	0.026402	-1.4177	1.2575	-1.1045	-0.17224	0.80542	0.70466	-0.016073	1.1255	1.588	0.031117	-1.4061	-0.46528	-2.1556	-0.87013	1.1623	1.0022	-0.47346	-0.084974	0.58794	-1.2511	0.2824	1.5889	-1.2712	0.21703	0.54955	-0.37591	1.0164	-1.1633	2.4522	0.85105	0.41158	1.4935	0.44951	1.2817	-0.032745	-1.1976	-1.7932	0.45847	0.35081	-1.1994	-1.1551	-0.60335	-0.7693	0.60379	0.87561	-0.39182	1.0306	-1.9805	-0.55393	0.067059	1.4466	-0.38647	-0.37168	-0.17146	0.39118	0.58665	0.49008	-0.68366	-0.56784	-0.9002
8.5	0.024169	-1.0119	1.5742	-1.4006	-0.051849	1.7234	-1.4461	0.30886	0.71241	-1.5528	2.0074	-0.66593	0.62429	1.0222	-1.2563	0.36737	0.58333	0.56202	0.30228	-0.94674	-2.2602	-0.63785	-0.6992	-0.26616	-0.41156	-0.8362	-0.17953	-2.0521	-0.89119	0.20448	-0.66697	-0.32053	-0.54387	-1.0943	2.2734	0.1571	-0.84303	0.49629	-1.0734	1.0789	-0.0062506	0.09594	-2.0764	-0.22663	-0.85573	-0.97555	0.58761	1.0871	-1.2246	-0.42782	-0.85751	0.45887	0.15487	2.1268	1.036	0.54544	-1.6554	1.7038	1.4809	0.8137	0.30593	0.52122	1.772	-1.4006	0.39837	0.29258	0.80618	-0.23287	-1.7709	0.40306	1.1047	2.1469	0.26941	1.053	1.4859	-0.1535	-0.3851	0.79478	-0.43529	0.083233	0.34172	0.1273	0.48392	0.31271	-0.058264	-0.3758	-0.29955	1.7201	0.5271	-0.19386	-0.13471	-1.018	0.26443	0.635	0.77572
8.75	0.032295	-1.0629	1.5955	-1.2423	-0.3665	1.7707	-1.0963	-0.27602	1.0376	-1.925	1.368	-0.54741	-0.25088	1.7469	-0.83573	0.5649	0.06954	1.0447	-0.43979	-1.0441	0.021753	-2.1912	0.075282	-0.62432	0.82504	0.25145	-0.34384	-0.62479	1.3688	0.14127	1.6646	-1.5652	-0.3597	1.4057	-1.2599	0.80343	-0.044641	1.4802	0.60785	-1.6091	-1.05	1.2478	1.6609	-0.35433	1.7725	0.79441	-0.73311	0.85184	-0.61883	-0.68983	0.12483	-0.6327	-1.2712	-0.27856	-0.36281	-1.5893	-0.38938	-1.0397	-1.9763	-0.085011	-1.9963	-0.66461	-0.3277	0.27445	-2.3759	-0.40274	-2.6239	-0.24096	-0.37635	-0.65189	-0.31256	0.65071	-0.76183	-1.1321	-0.90089	1.0749	0.30475	0.29789	0.89987	-0.81162	0.65497	-0.10552	1.2569	-0.0091966	-0.45803	-0.49194	-0.63954	0.15191	0.57996	0.20574	-0.55985	0.27389	-0.85009	0.18998	0.081912
9	0.041697	-1.1129	1.6018	-1.073	-0.64513	1.7318	-0.68729	-0.77537	1.2395	-1.8961	0.4231	-0.39581	-1.3257	1.7863	-0.42671	0.53561	-0.732	0.63235	-0.88936	-0.94742	1.1186	-0.98436	0.68766	0.8752	0.61738	0.4546	0.36482	-0.742	-0.14973	-1.0546	-0.12381	1.6035	-0.13451	0.40039	-0.36638	0.41438	1.7072	0.18753	-1.2426	1.8979	0.77311	-0.44464	-0.6632	0.22736	-1.8194	1.0719	-1.1253	0.0065808	2.8631	0.7208	-0.53453	0.63955	0.59347	-0.92555	-0.38226	0.79643	0.93597	-1.3084	-1.2031	-1.0701	1.5149	-0.77715	-1.1407	-0.88333	1.354	1.7156	0.2861	1.3097	2.1055	0.60791	0.48898	-0.7748	-0.39413	-0.37356	1.0679	0.25809	0.1362	0.33418	-0.31139	0.18479	-1.4161	-1.4352	-0.41435	1.3516	0.37073	-0.67704	1.336	-0.12701	-1.3805	-0.21763	0.036769	0.57319	1.6467	0.042761	0.054844
9.25	0.052448	-1.1625	1.595	-0.89873	-0.87744	1.6148	-0.2542	-1.2039	1.2744	-1.5842	-0.44528	0.025825	-1.856	1.2466	0.29132	0.073276	-0.9804	0.28641	-1.1846	0.15395	1.7578	-0.18802	0.64634	0.41606	0.86953	0.54582	0.64475	1.1498	-0.395	-0.15128	-0.18692	0.69322	-1.6989	0.4128	-0.74774	0.41618	-2.456	0.17418	1.2089	-2.2195	-0.6669	-0.81149	1.0335	-0.25387	0.5914	-1.3909	0.87173	-1.2383	-0.19691	-0.10982	-0.10855	-1.0389	0.59045	-0.25602	0.80698	-0.43709	0.35833	1.1018	2.6371	-0.26053	0.87002	0.57923	-0.88411	0.5411	2.4076	-0.90924	1.4234	-1.6074	-1.5342	-0.042246	0.044745	0.17356	0.7852	0.65296	-0.6102	-0.62887	-0.16406	-1.1581	-2.3724	0.20856	0.1904	0.4959	0.17217	-1.258	0.3853	0.91025	0.037384	-2.1768	-0.54392	-0.19311	0.26355	0.26068	-0.47951	-0.1952	-0.71061
9.5	0.064422	-1.2104	1.5738	-0.71933	-1.0711	1.4419	0.16753	-1.476	1.1728	-0.99415	-1.3074	0.52193	-1.9367	0.23291	0.59614	-0.13531	-1.0643	-0.41876	-0.70351	0.94539	1.4435	0.98939	0.2681	0.67911	-0.81282	0.0056118	1.2606	0.60579	-0.57516	0.34578	-0.86684	1.3172	1.0297	-1.0524	-0.15112	-0.28048	1.7721	-1.6641	-1.0256	0.64148	0.58015	-0.37184	-0.17184	-0.53776	0.0078256	0.099874	1.0137	0.37221	-1.5107	0.58729	0.3969	1.2835	-0.0008192	-0.94138	-2.5504	1.7385	-0.061667	1.7831	-0.027213	-1.0088	-1.3191	0.99699	2.0591	-0.41655	-1.9143	-1.5649	0.11766	1.0088	-0.34561	-0.77273	-0.30581	-0.95676	0.85445	-0.88002	-0.33494	-0.29468	0.50265	-0.0040993	2.4604	-0.1207	1.6026	0.96592	-0.63943	-0.35208	-0.36624	-0.44911	-1.3436	0.34149	1.1411	0.52997	0.093367	-1.133	-1.0193	-0.84532	0.33311
9.75	0.077654	-1.2571	1.54	-0.53989	-1.2208	1.2199	0.56369	-1.6074	0.93162	-0.30532	-1.7921	0.96811	-1.3039	-0.54467	0.85485	-0.55641	-0.73674	-0.69304	0.24571	1.4472	0.57549	1.4171	-0.034199	-0.025094	-0.2965	-0.22684	0.14218	0.92627	-0.048369	0.27465	-0.64088	-1.1925	0.54175	-0.12616	1.0673	-1.46	-0.76648	-0.44206	0.86241	0.78367	-0.42045	0.7044	-0.84429	1.121	0.45084	0.77029	0.19368	0.54235	1.1479	-1.0577	1.6176	-0.11951	-0.2785	0.60767	2.897	-1.589	-0.39673	-1.6325	-0.30891	1.6717	0.84587	-2.4947	1.1097	2.5992	-1.5873	0.87276	-0.20711	-0.48998	-0.52431	0.034126	-0.20014	0.5467	-0.88269	2.0687	-0.59866	-0.22734	-0.57613	0.16436	1.2834	-0.28972	-0.99626	0.14569	-1.4633	-0.097093	0.10859	0.29644	1.6466	1.9451	0.15185	-0.39196	0.45092	-0.15511	0.80507	0.29592	0.28026
